EDR140131,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.17, Taberna","Ercolano (Napoli), Insula IV.17, Taberna",aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,5,13,0,2,tit. integer,archaeologia,,,0
EDR140669,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.17, Taberna con Abitazione","Ercolano (Napoli), Insula IV.17, Taberna con Abitazione",aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,14,24.5,0,"2,5-14",tit. integer,archaeologia,,,0
EDR143900,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,11,10,0,,tit. integer,archaeologia,,,0
EDR144347,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,11.2,0,,tit. integer,archaeologia,,,0
EDR144348,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,8,0,,tit. integer?,archaeologia,,,0
EDR144349,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,11.6,0,,tit. integer?,archaeologia,,,0
EDR145004,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,11.2,0,,tit. integer,archaeologia,,,0
EDR145005,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,5.2,0,,tit. integer,archaeologia,,,0
EDR145006,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,17.2,0,,tit. integer,archaeologia,,,0
EDR145009,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,8.8,0,,tit. integer,archaeologia,,,0
EDR144352,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,6.6,0,,tit. integer?,archaeologia,,,0
EDR144350,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,12,0,,tit. integer?,archaeologia,,,0
EDR145007,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,7.2,0,,tit. integer,archaeologia,,,0
EDR145008,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,10.4,0,,tit. integer,archaeologia,,,0
EDR145764,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,0,0,0,14,0,,tit. integer,,,,0
EDR145765,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,14.4,0,,tit. integer,archaeologia,,,0
EDR145766,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,0,0,0,8,0,,tit. integer,,,,0
EDR145771,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,9.2,0,0,,tit. integer,archaeologia,,,0
EDR145767,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,12.4,0,,tit. integer,archaeologia,,,0
EDR145768,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,4.8,0,,tit. integer,archaeologia,,,0
EDR140171,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.5, facade",periit,aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,0,23.6,0,"1,7-6,7",tit. integer,archaeologia,,,0
EDR140147,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula IV.8-9, House of the Painted Papyrus","Ercolano (Napoli), Insula IV.8-9, House of the Painted Papyrus",aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,7,30,0,"0,5-2",tit. integer,archaeologia,,,0
EDR140054,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis I.1, Casa del Rilievo di Telefo","Ercolano (Napoli), Insula Orientalis I.1, Casa del Rilievo di Telefo",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,28.3,15.5,0,"1,4-28,3",tit. integer,archaeologia,,,0
EDR140150,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis I.1, Casa del Rilievo di Telefo","Ercolano (Napoli), Insula Orientalis I.1, Casa del Rilievo di Telefo",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,1.6,3.5,0,"1,4-1,6",tit. integer,archaeologia,,,0
EDR140050,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis I.1, Casa della Gemma","Ercolano (Napoli), Insula Orientalis I.1, Casa della Gemma ",aedificium,tectorium,litt. scariph.,latina,cetera,ignoratur,0,0,1,79,0.8,3.4,0,"0,5-0,8",tit. integer,archaeologia,,,0
EDR140037,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis I.1, Casa della gemma","Ercolano (Napoli), Insula Orientalis I.1, Casa della gemma ",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,2.4,10.4,0,"0,9-2,4",tit. mutilus,archaeologia,,,0
EDR145037,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis I.2, Casa del relievo di Telefo","Ercolano (Napoli), Insula Orientalis 1.2, Casa del relievo di Telefo",aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,9,8.3,0,,tit. integer,archaeologia,,,0
EDR140239,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis II.2, Pistrina e Terme","Ercolano (Napoli), Insula Orientalis II.2, Pistrina e Terme",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,14.5,26.5,0,"1,2-14,5",tit. integer,archaeologia,,,0
EDR140250,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula Orientalis II.2, Pistrina e Terme","Ercolano (Napoli), Insula Orientalis, II.2, Pistrina e Terme",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,12,7.5,0,"4,9-12",tit. integer,archaeologia,,,0
EDR144783,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula V. 35, Casa del Gran Portale","Ercolano (Napoli), Insula V. 35, Casa del Gran Portale",aedificium,tectorium,litt. scariph.,,,,0,0,1,79,2.7,2.3,0,,tit. integer,archaeologia,,,0
EDR144784,LaC,I,Herculaneum ,Ercolano (Napoli),"Ercolano (Napoli), Insula V. 35, Casa del Gran Portale",Periit,aedificium,tectorium,litt. scariph.,,,,0,0,1,79,3.4,0,0,,tit. integer,archaeologia,,,0
EDR140125,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.1, Casa Sannitica","Ercolano (Napoli), Insula V.1, Casa Sannitica",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,10,15,0,"2,8-10",tit. integer,archaeologia,,,0
EDR140129,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.1, Casa Sannitica","Ercolano (Napoli), Insula V.1, Casa Sannitica",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,1,3,0,"0,7-1",tit. integer,archaeologia,,,0
EDR140132,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.1, Casa Sannitica","Ercolano (Napoli), Insula V.1, Casa Sannitica",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,28.8,71,0,"24,5-28,8",tit. integer,archaeologia,,,0
EDR140135,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.1, Casa Sannitica","Ercolano (Napoli), Insula V.1, Casa Sannitica",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,11,41.6,0,"2,3-9,2",tit. integer,archaeologia,,distichum elegiacum,1
EDR145032,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.1, Casa Sannitica","Ercolano (Napoli), Insula V.1, Casa Sannitica",aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,16.8,17.2,0,,tit. integer,archaeologia,,,0
EDR144514,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.1, Casa Sannitica","Ercolano (Napoli), Insula V.1, Casa Sannitica",aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,21,25.8,0,,tit. integer,archaeologia,,,0
EDR140197,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.18","Ercolano (Napoli), Insula V.18",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,1.1,13,0,"0,6-1,1",tit. integer,archaeologia,,,0
EDR140209,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.18","Ercolano (Napoli), Insula V.18",aedificium,tectorium,litt. scariph.,graeca,cetera,,0,0,1,79,0,0,0,"0,07-0,09",tit. integer,archaeologia,,,0
EDR145296,LaC,I,Herculaneum,Ercolano (Napoli) ,"Ercolano (Napoli), Insula V.31, Casa del Sacello di Legno",Periit?,aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,0,0,0,,tit. integer,archaeologia,,,0
EDR140130,LaC,I,Herculaneum,Ercolano (Napoli) ,"Ercolano (Napoli), Insula V.35, Casa del Gran Portale","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",aedificium,tectorium,litt. scariph.,latina,cetera,,0,0,1,79,8,37.5,0,"1,5-6,5",tit. integer,archaeologia,,,0
EDR143634,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.35, Casa del Gran Portale","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,6.7,8.3,0,,tit. integer,archaeologia,,,0
EDR143814,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.35, Casa del Gran Portale","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",aedificium,tectorium,litt. scariph.,,cetera,,0,0,1,79,4,4.3,0,,tit. integer,archaeologia,,,0
EDR143815,LaC,I,Herculaneum,Ercolano (Napoli),"Ercolano (Napoli), Insula V.35, Casa del Gran Portale","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",aedificium,tectorium,litt. scariph.,,cetera,,0,0,0,79,5.6,4,0,,tit. integer,archaeologia,,,0
