EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Latin Description of Figural Graffito,English Description of Figural Graffito,
 ,,,Does the CIL # have a drawing with a Langner #,,,(no spaces in the names),,,,Latin Description ,,
"1) from agp.wlu.edu, Go through I.8.17, then VII.12.18 - look for any figural graffiti and add to spreadsheet ",,,,,,,,,,,,
EDR148875,,,1886,Pompeii,,,,,Boats,navis cum malo velo et remis,"ship with mast, sail and oars",
EDR148876,,,1904,Pompeii,,,,,Boats,navis cum remis maloque,ship with mast and oars,
EDR148877,,,1905,Pompeii,,,,,Boats,navis cum malo,ship with mast,
EDR148878,,,1926,Pompeii,,,,,Boats,navis cum remis velis malisque,"ship with oars, masts and sails",
EDR148879,,,1961,Pompeii,,,,,Boats,navis cum velo,ship with sail,
EDR148880,,,1971,Pompeii,,,,,Boats,navis cum malo veloque,ship with mast and sail,
EDR148881,,,1972,Pompeii,,,,,Boats,navis cum malo veloque,ship with mast and sail,
EDR148882,,,1994,Pompeii,,,,,Boats,navis,ship,
EDR142573,,,2001,Pompeii,,,,,Boats,nomen Venustus in forma navis scriptum,name Venustus written in shape of boat,
EDR142564,,,2103,Pompeii,,,,,Boats,navis oneraria cum nautis et tugurio,cargo ship with sailors and deckhouse,
EDR148732,,,2452,Pompeii,,,,,Plants,folium,leaf,
EDR148733,,,2453,Pompeii,,,,,Plants,folium,leaf,
EDR149513,,,,Pompeii,,,,,Plants,palma,palm frond,
