"EDR127579";"Textus secundum (1)<br>v. 1: A backwards ""C"" denotes either 'centuria' or 'centurionis'."
"EDR127969";"Textus secundum (1)"
"EDR128013";"Textus secundum (1)"
"EDR128014";"Textus secundum (1)<br>There is a drawing of a bird near the inscription."
"EDR128049";"Textus secundum (1)<br>v. 1: lat. 2,2 litt. alt. 0,5<br>v. 2: lat. 4,8 litt. alt. 1,6-3,5<br>v. 3: lat. 2,2 litt. alt. 0,5<br>v. 4: lat. 3,9 litt. alt. 1,1"
"EDR128052";"Textus secundum (1)<br>"
"EDR128056";"Textus secundum (1)"
"EDR128057";"Textus secundum (1)"
"EDR128058";"Textus secundum (1)"
"EDR127823";"Textus secundum (1)"
"EDR127842";"Textus secundum (1)<br>v.1 [Pro]culus?; 'L' is long"
"EDR128053";"Textus secundum (1)"
"EDR128059";"Textus secundum (1)"
"EDR128062";"Textus secundum (1)"
"EDR128097";"Textus secundum (1), periit (2)"
"EDR128098";"Textus secundum (1), periit (2)<br>v.2-5: the letter ""E"" appears as ""II"". "
"EDR127152";"Textus secundum (1) <br>v.1: There is a space between ""Paca"" and ""tus."" "
"EDR128276";"Textus secundum (1) "
"EDR128545";"Textus secundum (1)"
"EDR128558";"Textus secundum (1), periit (2)<br>v.1: X vel V, pro nomen gentilicium?"
"EDR127155";"Textus secundum (2)<br>v.3-4: The letter ""E"" appears as ""II""."
"EDR127187";"Textus secundum (1), periit (2)"
"EDR127366";"Textus secundum (1)<br>v. 1: Virilio vel Vir(g)ilio? (1). "
"EDR127411";"Textus secundum (1)<br>v.4: Aquiti?"
"EDR127811";"Textus secundum (1)"
"EDR127813";"Textus secundum (1)<br>v. 1-2: Raur pro Rarus? (1). "
"EDR127833";"Textus secundum (1). Titulus periit (2). <br>"
"EDR127838";"Textus secundum (1)"
"EDR128017";"Textus secundum (2), periit (2)"
"EDR128055";"Textus secundum (1)<br>v. 1: CIL suggests Cha(ris?) as a possible understanding of the inscription, but other options are possible."
"EDR128061";"Textus secundum (1)<br>v. 1: Anchario / Lina (salutem?) vel Anchario/linia (1)"
"EDR128063";"Textus secundum (1). <br>v.2: The letter ""S"" is written backwards. "
"EDR128294";"Textus secundum (2)"
"EDR128546";"Textus secundum (1)"
"EDR128547";"Textus secundum (1)"
"EDR128548";"Textus secundum (1)"
"EDR128551";"Textus secundum (1)"
"EDR128553";"Textus secundum (1)<br>v.1: The second letter presents a vertical line intersected by a horizontal line (lower-case ""T""?)."
"EDR128557";"Textus secundum (1)<br>v. 1: FELLAAT pro FELLAT"
"EDR128562";"Textus secundum (1)<br>v. 1-2: These series of numerals occur on either side of a doorway. (1)"
"EDR128564";"Textus secundum (1)"
"EDR127185";"Textus secundum (1)"
"EDR127194";"Textus secundum (1), periit (2)<br>v.1: X (pugnarum?), suggested because of the gladiator drawing (see CIL ad loc.)"
"EDR127416";"Textus secundum (1)<br>v. 7: the letter E is written as II"
"EDR127807";"Textus secundum (1)<br>v.1: centuria vel centurionis"
"EDR127809";"Textus secundum (1)<br>v.1: Primu(s) vel Prime"
"EDR127810";"Textus secundum (1) "
"EDR127828";"Textus secundum (1)"
"EDR128064";"Textus secundum (1), periit (2) "
"EDR128277";"Textus secundum (1)"
"EDR128556";"Textus secundum (2), periit<br>v.1: emis CC n(ummis?): the final letter is a backwards K"
"EDR127412";"Textus secundum (1)"
"EDR127417";"Textus secundum (1)"
"EDR127419";"Textus secundum (1)"
"EDR127790";"Textus secundum (2), periit. "
"EDR127980";"Textus secundum (1)"
"EDR128118";"Textus secundum (1)<br>v.2: The letter ""A"" appears below the letter ""L"" in line 1.  "
"EDR128542";"Textus secundum (1)"
"EDR128552";"Textus secundum (1)"
"EDR128555";"Textus secundum (1) "
"EDR128561";"Textus secundum (1) "
"EDR128565";"Textus secundum (1) "
"EDR128566";"Textus secundum (1) "
"EDR128616";"Textus secundum (1)<br>v.1: Initial ""C"" is a tall letter.<br>v.2: cccp vel ccca?"
"EDR127186";"Textus secundum (1) <br>v.3: The letter ""E"" is written as ""II."""
"EDR127218";"Textus secundum (2)<br>"
"EDR127409";"Textus secundum (1)"
"EDR127426";"Textus secundum (1)"
"EDR128582";"Textus secundum, periit (2)"
"EDR128615";"Textus secundum (1)<br>v.2: A. Septumiu[s Vin?]icio Fabio (1)"
"EDR128617";"Textus secundum (1)"
"EDR128583";"Textus secundum (2)"
"EDR127398";"Textus secundum (1)<br>v. 5: the letter ""e"" is written as ""II"". <br>v. 7: Fabio vel habeo (?)<br>v. 8: Iu &#12296;i&#12297;lius vel Iu[n]ilius "
"EDR128066";"Textus secundum (1) <br>v.1: CIL reads as Qu(i)n(tus?) "
"EDR128067";"Textus secundum (1)<br>v.1: the letter ""E"" is written as ""II."" "
"EDR128080";"Textus secundum (1)<br>v.1: The fifth letter could be an ""L."" CIL proposes [N]ugulus(?) or A[n]gulus(?)  "
"EDR128082";"Textus secundum (1)"
"EDR128084";"Textus secundum (1). Periit (2). "
"EDR128585";"Textus secundum (2)"
"EDR128660";"Textus secundum (1)"
"EDR127814";"Textus secundum (1)"
"EDR127982";"Textus secundum (1), periit (2)"
"EDR128065";"Textus secundum (1). Titulus periit (2)"
"EDR128567";"Textus secundum (1) "
"EDR128662";"Textus secundum (1), periit (2)"
"EDR127830";"Textus secundum (1)"
"EDR127845";"Textus secundum (1). "
"EDR128016";"Textus secundum (1)<br>v.1: Lar vel L(---) A(---) R(---)?"
"EDR128051";"Textus secundum (1)"
"EDR128060";"Textus secundum (2)<br>v. 1: CIL ad loc. suggests Gylo, cylo(n), cyli(ndro) cyli(smate), and cyli(ce) as alternate possibilities"
"EDR128543";"Textus secundum (1)"
"EDR128544";"Textus secundum (1) "
"EDR128550";"Textus secundum (1)"
"EDR128663";"Textus secundum (1), periit (2)"
"EDR128117";"Textus secundum (1), periit (2)<br>v. 1: O hlo = Chlo(e)? The first letter ""O"" is composed of two strokes, the first of which could be a ""C""."
"EDR127405";"Textus secundum (1) <br>vv. 1, 2, 3, 4: The letter ""E"" is represented as II"
"EDR127831";"Textus secundum (1)"
"EDR128290";"Textus secundum (1)<br>v.1-2: Sot(er) vel Sot(er)/icu(s)? (1)"
"EDR128661";"Textus secundum (1)"
"EDR128733";"Textus secundum (1)"
"EDR128734";"Textus secundum (1)"
"EDR128737";"Textus secundum (1)"
"EDR127193";"Textus secundum (1)"
"EDR127297";"Textus secundum (1)<br>v. 1: ((centuria)) vel ((centurionis))"
"EDR127407";"Textus secundum (1)<br>v.1: vel Sinaei, vel Sianei? (2)"
"EDR127421";"Textus secundum (1)"
"EDR127816";"Textus secundum (1)<br>"
"EDR127817";"Textus secundum (1)"
"EDR127820";"Textus secundum (1)<br>v.3: <salutem?>"
"EDR127847";"Textus secundum (1).<br>v. 3: Tiber vel Tiber(is) vel Tiber(ii) (1)<br>Measurements above are only for Columna I, Stria 13.<br>(Measurements for Columna III, Stria 15 are: alt: 9,5 lat: 4,4 litt alt: 0,5 - 9,5.)"
"EDR127971";"Textus secundum (1)"
"EDR127973";"Textus secundum (1)"
"EDR128278";"Textus secundum (1) <br>Nearby inscription (CIL 04, 08665) reads: ((centuria)) Tironis "
"EDR128286";"Textus secudum (1)<br>v.1: 'F' is upside down; 'I' is placed above 'S'"
"EDR128554";"Textus secundum (1)"
"EDR128559";"Textus secundum (1), periit (2)"
"EDR128560";"Textus secundum (1)"
"EDR128581";"Textus secundum (1)"
